Time,Engine_RPM,Vehicle_Speed,Throttle_Position,Boost_Pressure,AFR,Ignition_Timing,Engine_Load,Coolant_Temp
0.00,800,0,2.1,0.0,14.7,12.0,15.2,85
0.25,850,5,5.2,0.1,14.6,12.5,18.5,86
0.50,920,12,8.9,0.3,14.5,13.0,22.1,87
0.75,1100,18,15.2,0.8,14.2,14.5,28.7,88
1.00,1350,25,22.5,1.2,13.8,16.0,35.4,89
1.25,1650,32,28.1,1.8,13.5,17.5,42.1,91
1.50,2000,40,35.7,2.5,13.2,18.0,48.9,93
1.75,2400,48,42.3,3.2,12.9,18.5,55.6,95
2.00,2850,56,48.9,4.1,12.6,19.0,62.3,97
2.25,3300,65,55.4,5.0,12.3,19.5,69.1,99
2.50,3750,73,61.8,6.2,12.0,20.0,75.8,102
2.75,4200,82,68.2,7.5,11.8,20.5,82.5,105
3.00,4650,90,74.6,8.9,11.6,21.0,89.2,108
3.25,5100,98,81.0,10.5,11.4,21.5,95.9,111
3.50,5550,107,87.3,12.2,11.2,22.0,102.7,114
3.75,6000,115,93.7,14.1,11.0,22.5,109.4,118
4.00,6200,120,95.2,15.8,10.9,23.0,112.1,121
4.25,6100,118,92.8,15.2,11.1,22.8,110.3,120
4.50,5950,115,89.4,14.5,11.3,22.5,107.8,119
4.75,5800,112,86.1,13.8,11.5,22.2,105.2,118
5.00,5650,109,82.7,13.1,11.7,21.9,102.7,117
5.25,5500,106,79.3,12.4,11.9,21.6,100.1,116
5.50,5350,103,75.9,11.7,12.1,21.3,97.6,115
5.75,5200,100,72.6,11.0,12.3,21.0,95.0,114
6.00,5050,97,69.2,10.3,12.5,20.7,92.5,113
6.25,4900,94,65.8,9.6,12.7,20.4,89.9,112
6.50,4750,91,62.4,8.9,12.9,20.1,87.4,111
6.75,4600,88,59.1,8.2,13.1,19.8,84.8,110
7.00,4450,85,55.7,7.5,13.3,19.5,82.3,109
7.25,4300,82,52.3,6.8,13.5,19.2,79.7,108
7.50,4150,79,48.9,6.1,13.7,18.9,77.2,107
7.75,4000,76,45.6,5.4,13.9,18.6,74.6,106
8.00,3850,73,42.2,4.7,14.1,18.3,72.1,105
8.25,3700,70,38.8,4.0,14.3,18.0,69.5,104
8.50,3550,67,35.4,3.3,14.5,17.7,67.0,103
8.75,3400,64,32.1,2.6,14.7,17.4,64.4,102
9.00,3250,61,28.7,1.9,14.9,17.1,61.9,101
9.25,3100,58,25.3,1.2,15.1,16.8,59.3,100
9.50,2950,55,21.9,0.5,15.3,16.5,56.8,99
9.75,2800,52,18.6,-0.2,15.5,16.2,54.2,98
10.00,2650,49,15.2,-0.9,15.7,15.9,51.7,97 
